Author,Book,Year,Epoch,Genre_Primary,Genre_Secondary,Form,Remarks,source
Miguel de Cervantes,Don Quixote,1605,Early Modern (1600–1800),Comedy / Satire,Literary / Realist Fiction,Novel,,sparknotes
John Bunyan,The Pilgrims Progress,1678,Early Modern (1600–1800),Literary / Realist Fiction,Fantasy / Adventure,Novel,Allegorical novel,sparknotes
Daniel Defoe,Robinson Crusoe,1719,Early Modern (1600–1800),Fantasy / Adventure,Literary / Realist Fiction,Novel,,sparknotes
Daniel Defoe,Moll Flanders,1722,Early Modern (1600–1800),Literary / Realist Fiction,Comedy / Satire,Novel,,sparknotes
Jonathan Swift,Gullivers Travels,1726,Early Modern (1600–1800),Comedy / Satire,Science Fiction / Dystopia,Novel,,sparknotes
Samuel Richardson,Clarissa or the History of a Young Lady,1748,Early Modern (1600–1800),Romance / Domestic Fiction,Literary / Realist Fiction,Novel,Epistolary romance/tragedy,sparknotes
Henry Fielding,Tom Jones,1749,Early Modern (1600–1800),Comedy / Satire,Literary / Realist Fiction,Novel,,sparknotes
Voltaire,Candide,1759,Early Modern (1600–1800),Comedy / Satire,Literary / Realist Fiction,Novel,,sparknotes
Laurence Sterne,Tristram Shandy,1767,Early Modern (1600–1800),Comedy / Satire,,Novel,,sparknotes
Johann Wolfgang von Goethe,The Sorrows of Young Werther,1774,Early Modern (1600–1800),Romance / Domestic Fiction,Tragedy / Drama,Novel,,sparknotes
Pierre Ambroise Laclos,Dangerous Liaisons,1782,Early Modern (1600–1800),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,,sparknotes
Jane Austen,Sense and Sensibility,1811,19th Century,Romance / Domestic Fiction,,Novel,,sparknotes
Jane Austen,Pride and Prejudice,1813,19th Century,Romance / Domestic Fiction,Comedy / Satire,Novel,,sparknotes
Jane Austen,Mansfield Park,1814,19th Century,Romance / Domestic Fiction,,Novel,,sparknotes
Jane Austen,Emma,1815,19th Century,Romance / Domestic Fiction,Comedy / Satire,Novel,,sparknotes
Jane Austen,Northanger Abbey,1817,19th Century,Romance / Domestic Fiction,Comedy / Satire,Novel,Gothic parody,sparknotes
Jane Austen,Persuasion,1817,19th Century,Romance / Domestic Fiction,,Novel,,sparknotes
Mary Shelley,Frankenstein,1818,19th Century,Science Fiction / Dystopia,Literary / Realist Fiction,Novel,Gothic/Sci-Fi/Literary: canonical founding sci-fi text,sparknotes
Sir Walter Scott,Ivanhoe,1819,19th Century,Fantasy / Adventure,Literary / Realist Fiction,Novel,,sparknotes
James Fenimore Cooper,The Last of the Mohicans,1826,19th Century,Fantasy / Adventure,Literary / Realist Fiction,Novel,,sparknotes
Stendhal,The Red and the Black,1830,19th Century,Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Victor Hugo,The Hunchback of Notre Dame,1831,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Charles Dickens,Oliver Twist,1838,19th Century,Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Charles Dickens,A Christmas Carol,1843,19th Century,Literary / Realist Fiction,,Play,Novella; ghost story + social commentary,sparknotes
Alexandre Dumas,The Three Musketeers,1844,19th Century,Fantasy / Adventure,,Novel,,sparknotes
Alexandre Dumas,The Count of Monte Cristo,1846,19th Century,Fantasy / Adventure,Mystery / Thriller,Novel,,sparknotes
Herman Melville,Typee,1846,19th Century,Literary / Realist Fiction,Fantasy / Adventure,Novel,Travel/adventure narrative,sparknotes
Charlotte Bronte,Jane Eyre,1847,19th Century,Romance / Domestic Fiction,Coming-of-Age / Bildungsroman,Novel,Gothic romance + Bildungsroman; romance arc is primary,sparknotes
Emily Bronte,Wuthering Heights,1847,19th Century,Tragedy / Drama,Romance / Domestic Fiction,Novel,,sparknotes
William Makepeace Thackeray,Vanity Fair,1848,19th Century,Literary / Realist Fiction,Comedy / Satire,Novel,,sparknotes
Charles Dickens,David Copperfield,1850,19th Century,Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Nathaniel Hawthorne,The Scarlet Letter,1850,19th Century,Literary / Realist Fiction,Romance / Domestic Fiction,Novel,,sparknotes
Nathaniel Hawthorne,The House of the Seven Gables,1851,19th Century,Literary / Realist Fiction,,Novel,,sparknotes
Herman Melville,Moby Dick,1851,19th Century,Literary / Realist Fiction,Fantasy / Adventure,Novel,Epic literary; Adventure is secondary,sparknotes
Harriet Beecher Stowe,Uncle Toms Cabin,1852,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Charles Dickens,Bleak House,1853,19th Century,Literary / Realist Fiction,Mystery / Thriller,Novel,,sparknotes
Charles Dickens,Hard Times,1854,19th Century,Literary / Realist Fiction,,Novel,,sparknotes
Gustave Flaubert,Madame Bovary,1857,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Charles Dickens,A Tale of Two Cities,1859,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
George Eliot,Adam Bede,1859,19th Century,Literary / Realist Fiction,,Novel,,sparknotes
George Eliot,The Mill on the Floss,1860,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Charles Dickens,Great Expectations,1861,19th Century,Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Other,,sparknotes
George Eliot,Silas Marner,1861,19th Century,Literary / Realist Fiction,,Novel,,sparknotes
Victor Hugo,Les Misrables,1862,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Fyodor Dostoevsky,Notes from Underground,1864,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Lewis Carroll,Alices Adventures in Wonderland,1865,19th Century,Fantasy / Adventure,Comedy / Satire,Novel,,sparknotes
Fyodor Dostoevsky,Crime and Punishment,1866,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,Psychological/philosophical; NOT mystery despite crime label,sparknotes
Leo Tolstoy,War and Peace,1867,19th Century,Literary / Realist Fiction,,Novel,,sparknotes
Louisa May Alcott,Little Women,1868,19th Century,Coming-of-Age / Bildungsroman,Romance / Domestic Fiction,Novel,,sparknotes
Wilkie Collins,The Moonstone,1868,19th Century,Mystery / Thriller,,Novel,,sparknotes
Fyodor Dostoevsky,The Idiot,1869,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Gustave Flaubert,Sentimental Education,1869,19th Century,Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Jules Verne,20000 Leagues Under the Sea,1870,19th Century,Science Fiction / Dystopia,Fantasy / Adventure,Novel,,sparknotes
Lewis Carroll,Through the Looking Glass,1871,19th Century,Fantasy / Adventure,Comedy / Satire,Novel,,sparknotes
George Eliot,Middlemarch,1871,19th Century,Literary / Realist Fiction,,Novel,,sparknotes
Jules Verne,Around the World in 80 Days,1872,19th Century,Fantasy / Adventure,,Novel,,sparknotes
Thomas Hardy,Far From the Madding Crowd,1874,19th Century,Literary / Realist Fiction,Romance / Domestic Fiction,Novel,,sparknotes
Mark Twain,The Adventures of Tom Sawyer,1876,19th Century,Coming-of-Age / Bildungsroman,Fantasy / Adventure,Novel,,sparknotes
Henry James,The American,1877,19th Century,Literary / Realist Fiction,,Novel,,sparknotes
Thomas Hardy,The Return of the Native,1878,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Henry James,Daisy Miller,1878,19th Century,Literary / Realist Fiction,,Novel,,sparknotes
Leo Tolstoy,Anna Karenina,1878,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Fyodor Dostoevsky,The Brothers Karamazov,1880,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Henry James,The Portrait of a Lady,1881,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Howard Pyle,The Merry Adventures of Robin Hood,1883,19th Century,Fantasy / Adventure,,Novel,,sparknotes
Robert Louis Stevenson,Treasure Island,1883,19th Century,Fantasy / Adventure,,Novel,,sparknotes
Mark Twain,The Adventures of Huckleberry Finn,1884,19th Century,Coming-of-Age / Bildungsroman,Comedy / Satire,Novel,,sparknotes
Thomas Hardy,The Mayor of Casterbridge,1886,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Robert Louis Stevenson,Kidnapped,1886,19th Century,Fantasy / Adventure,,Novel,,sparknotes
Robert Louis Stevenson,Dr Jekyll and Mr Hyde,1886,19th Century,Science Fiction / Dystopia,Mystery / Thriller,Novel,,sparknotes
Leo Tolstoy,The Death of Ivan Ilych,1886,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Arthur Conan Doyle,A Study in Scarlet,1887,19th Century,Mystery / Thriller,,Novel,,sparknotes
Edward Bellamy,Looking Backward,1888,19th Century,Science Fiction / Dystopia,,Novel,,sparknotes
Mark Twain,A Connecticut Yankee in King Arthurs Court,1889,19th Century,Comedy / Satire,Science Fiction / Dystopia,Novel,,sparknotes
Oscar Wilde,The Picture of Dorian Gray,1890,19th Century,Literary / Realist Fiction,Tragedy / Drama,Play,Philosophical/Gothic; doesn't fit cleanly,sparknotes
Thomas Hardy,Tess of the dUrbervilles,1891,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Stephen Crane,Maggie A Girl of the Streets,1893,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Mark Twain,Puddnhead Wilson,1893,19th Century,Comedy / Satire,Literary / Realist Fiction,Novel,,sparknotes
Stephen Crane,The Red Badge of Courage,1895,19th Century,Literary / Realist Fiction,,Novel,,sparknotes
Thomas Hardy,Jude the Obscure,1895,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
HG Wells,The Time Machine,1895,19th Century,Science Fiction / Dystopia,,Novel,,sparknotes
HG Wells,The Island of Dr Moreau,1896,19th Century,Science Fiction / Dystopia,,Novel,,sparknotes
Bram Stoker,Dracula,1897,19th Century,Mystery / Thriller,Literary / Realist Fiction,Novel,Gothic horror but structurally mystery/suspense per taxonomy,sparknotes
Henry James,The Turn of the Screw,1898,19th Century,Mystery / Thriller,Literary / Realist Fiction,Novel,Gothic ghost story / mystery,sparknotes
HG Wells,The War of the Worlds,1898,19th Century,Science Fiction / Dystopia,,Novel,,sparknotes
Kate Chopin,The Awakening,1899,19th Century,Literary / Realist Fiction,Tragedy / Drama,Novel,Feminist realism; tragic arc,sparknotes
Joseph Conrad,Heart of Darkness,1899,19th Century,Literary / Realist Fiction,,Novel,,sparknotes
L Frank Baum,The Wonderful Wizard of Oz,1900,Early 20th Century (1900–1950),Fantasy / Adventure,,Novel,,sparknotes
Joseph Conrad,Lord Jim,1900,Early 20th Century (1900–1950),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Theodore Dreiser,Sister Carrie,1900,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Arthur Conan Doyle,The Hound of the Baskervilles,1902,Early 20th Century (1900–1950),Mystery / Thriller,,Novel,,sparknotes
Henry James,The Ambassadors,1903,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Jack London,The Call of the Wild,1903,Early 20th Century (1900–1950),Literary / Realist Fiction,Fantasy / Adventure,Novel,,sparknotes
Edith Wharton,The House of Mirth,1905,Early 20th Century (1900–1950),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Jack London,White Fang,1906,Early 20th Century (1900–1950),Literary / Realist Fiction,Fantasy / Adventure,Novel,,sparknotes
Upton Sinclair,The Jungle,1906,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
E M Forster,A Room with a View,1908,Early 20th Century (1900–1950),Romance / Domestic Fiction,Comedy / Satire,Novel,,sparknotes
Kenneth Grahame,The Wind in the Willows,1908,Early 20th Century (1900–1950),Fantasy / Adventure,,Novel,,sparknotes
L M Montgomery,Anne of Green Gables,1908,Early 20th Century (1900–1950),Coming-of-Age / Bildungsroman,Romance / Domestic Fiction,Novel,,sparknotes
E M Forster,Howards End,1910,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Linda Sue Park,A Long Walk to Water,2010,21st Century (2000+),Literary / Realist Fiction,,Novel,,sparknotes
Frances Hodgson Burnett,The Secret Garden,1911,Early 20th Century (1900–1950),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Edith Wharton,Ethan Frome,1911,Early 20th Century (1900–1950),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Thomas Mann,Death in Venice,1912,Early 20th Century (1900–1950),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Willa Cather,O Pioneers,1913,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
DH Lawrence,Sons and Lovers,1913,Early 20th Century (1900–1950),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Play,,sparknotes
Marcel Proust,Swanns Way,1913,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Ford Madox Ford,The Good Soldier,1915,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Franz Kafka,The Metamorphosis,1915,Early 20th Century (1900–1950),Literary / Realist Fiction,Tragedy / Drama,Novel,Absurdist/Kafkaesque,sparknotes
James Joyce,A Portrait of the Artist as a Young Man,1916,Early 20th Century (1900–1950),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Willa Cather,My Antonia,1918,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Sherwood Anderson,Winesburg Ohio,1919,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Hermann Hesse,Demian,1919,Early 20th Century (1900–1950),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
F Scott Fitzgerald,This Side of Paradise,1920,Early 20th Century (1900–1950),Coming-of-Age / Bildungsroman,Romance / Domestic Fiction,Novel,,sparknotes
James Joyce,Ulysses,1920,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Sinclair Lewis,Main Street,1920,Early 20th Century (1900–1950),Literary / Realist Fiction,Comedy / Satire,Novel,,sparknotes
Edith Wharton,The Age of Innocence,1920,Early 20th Century (1900–1950),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,,sparknotes
Herman Hesse,Siddhartha,1922,Early 20th Century (1900–1950),Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Sinclair Lewis,Babbitt,1922,Early 20th Century (1900–1950),Comedy / Satire,Literary / Realist Fiction,Novel,,sparknotes
E M Forster,A Passage to India,1924,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Herman Melville,Billy Budd Sailor,1924,Early 20th Century (1900–1950),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Franz Kafka,The Trial,1925,Early 20th Century (1900–1950),Literary / Realist Fiction,Tragedy / Drama,Novel,Absurdist; not dystopian in Orwellian sense,sparknotes
Sinclair Lewis,Arrowsmith,1925,Early 20th Century (1900–1950),Literary / Realist Fiction,Comedy / Satire,Novel,,sparknotes
John Dos Passos,Manhattan Transfer,1925,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Virginia Woolf,Mrs Dalloway,1925,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Agatha Christie,The Murder of Roger Ackroyd,1926,Early 20th Century (1900–1950),Mystery / Thriller,,Novel,,sparknotes
Ernest Hemingway,The Sun Also Rises,1926,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Hermann Hesse,Steppenwolf,1927,Early 20th Century (1900–1950),Literary / Realist Fiction,,Other,,sparknotes
OE Rlvaag,Giants in the Earth,1927,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Virginia Woolf,To the Lighthouse,1927,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Nella Larsen,Quicksand,1928,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
DH Lawrence,Lady Chatterleys Lover,1928,Early 20th Century (1900–1950),Literary / Realist Fiction,Romance / Domestic Fiction,Play,,sparknotes
Erich Maria Remarque,All Quiet on the Western Front,1929,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Virginia Woolf,Orlando,1928,Early 20th Century (1900–1950),Literary / Realist Fiction,Comedy / Satire,Novel,,sparknotes
William Faulkner,The Sound and the Fury,1929,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Nella Larsen,Passing,1929,Early 20th Century (1900–1950),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Pearl S Buck,The Good Earth,1931,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
William Faulkner,Light in August,1932,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Aldous Huxley,Brave New World,1932,Early 20th Century (1900–1950),Science Fiction / Dystopia,Literary / Realist Fiction,Novel,,sparknotes
John Steinbeck,The Red Pony,1933,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Nathanael West,Miss Lonelyhearts,1933,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Agatha Christie,Murder on the Orient Express,1934,Early 20th Century (1900–1950),Mystery / Thriller,,Novel,,sparknotes
F Scott Fitzgerald,Tender Is the Night,1934,Early 20th Century (1900–1950),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
John Steinbeck,Tortilla Flat,1935,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
William Faulkner,Absalom Absalom,1936,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Margaret Mitchell,Gone with the Wind,1936,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Zora Neale Hurston,Their Eyes Were Watching God,1937,Early 20th Century (1900–1950),Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
J R R Tolkien,The Hobbit,1937,Early 20th Century (1900–1950),Fantasy / Adventure,,Novel,,sparknotes
William Faulkner,The Unvanquished,1938,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Daphne du Maurier,Rebecca,1938,Early 20th Century (1900–1950),Mystery / Thriller,Romance / Domestic Fiction,Novel,Gothic suspense/mystery primary,sparknotes
Ayn Rand,Anthem,1938,Early 20th Century (1900–1950),Science Fiction / Dystopia,,Novel,,sparknotes
Jean Paul Sartre,Nausea,1938,Early 20th Century (1900–1950),Literary / Realist Fiction,,Play,Existentialist,sparknotes
Raymond Chandler,The Big Sleep,1939,Early 20th Century (1900–1950),Mystery / Thriller,,Novel,,sparknotes
Agatha Christie,And Then There Were None,1939,Early 20th Century (1900–1950),Mystery / Thriller,,Novel,,sparknotes
John Steinbeck,The Grapes of Wrath,1939,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Dalton Trumbo,Johnny Got His Gun,1939,Early 20th Century (1900–1950),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Nathanael West,The Day of the Locust,1939,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Graham Greene,The Power and the Glory,1940,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Ernest Hemingway,For Whom The Bell Tolls,1940,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Carson McCullers,The Heart Is a Lonely Hunter,1940,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Richard Wright,Native Son,1940,Early 20th Century (1900–1950),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Albert Camus,The Stranger,1942,Early 20th Century (1900–1950),Literary / Realist Fiction,Tragedy / Drama,Novel,Existentialist; flag as Absurdist,sparknotes
William Faulkner,Go Down Moses,1942,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
CS Lewis,The Screwtape Letters,1942,Early 20th Century (1900–1950),Comedy / Satire,Literary / Realist Fiction,Novel,,sparknotes
Antoine de Saint Exupery,The Little Prince,1943,Early 20th Century (1900–1950),Literary / Realist Fiction,Fantasy / Adventure,Other,Philosophical fable; Form=Other (novella/allegory),sparknotes
Esther Forbes,Johnny Tremain,1943,Early 20th Century (1900–1950),Coming-of-Age / Bildungsroman,Fantasy / Adventure,Novel,,sparknotes
Ayn Rand,The Fountainhead,1943,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,Objectivist; less clearly dystopian than Atlas Shrugged,sparknotes
Betty Smith,A Tree Grows in Brooklyn,1943,Early 20th Century (1900–1950),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
George Orwell,Animal Farm,1945,Early 20th Century (1900–1950),Science Fiction / Dystopia,Comedy / Satire,Novel,Allegorical dystopia; Satire is secondary,sparknotes
John Steinbeck,Cannery Row,1945,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Evelyn Waugh,Brideshead Revisited,1945,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Carson McCullers,The Member of the Wedding,1946,Early 20th Century (1900–1950),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Jack Schaefer,Shane,1946,Early 20th Century (1900–1950),Fantasy / Adventure,Literary / Realist Fiction,Novel,Western,sparknotes
Robert Penn Warren,All the Kings Men,1946,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Albert Camus,The Plague,1947,Early 20th Century (1900–1950),Literary / Realist Fiction,Tragedy / Drama,Novel,Existentialist allegorical,sparknotes
John Steinbeck,The Pearl,1947,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,,sparknotes
Alan Paton,Cry the Beloved Country,1948,Early 20th Century (1900–1950),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
BF Skinner,Walden Two,1948,Early 20th Century (1900–1950),Science Fiction / Dystopia,,Other,,sparknotes
George Orwell,1984,1949,Early 20th Century (1900–1950),Science Fiction / Dystopia,,Novel,,sparknotes
Ray Bradbury,The Martian Chronicles,1950,Late 20th Century (1950–2000),Science Fiction / Dystopia,,Novel,,sparknotes
CS Lewis,The Lion The Witch and The Wardrobe,1950,Late 20th Century (1950–2000),Fantasy / Adventure,,Novel,,sparknotes
J D Salinger,The Catcher in the Rye,1951,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Herman Wouk,The Caine Mutiny,1951,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Ralph Ellison,Invisible Man,1952,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Ernest Hemingway,The Old Man and the Sea,1952,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Bernard Malamud,The Natural,1952,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
John Steinbeck,East of Eden,1952,Late 20th Century (1950–2000),Romance / Domestic Fiction,,Novel,,sparknotes
EB White,Charlottes Web,1952,Late 20th Century (1950–2000),Fantasy / Adventure,Coming-of-Age / Bildungsroman,Novel,,sparknotes
James Baldwin,Go Tell It on the Mountain,1953,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Ray Bradbury,Fahrenheit 451,1953,Late 20th Century (1950–2000),Science Fiction / Dystopia,,Novel,,sparknotes
Arthur C Clarke,Childhoods End,1953,Late 20th Century (1950–2000),Science Fiction / Dystopia,,Novel,,sparknotes
Conrad Richter,The Light in the Forest,1953,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Kingsley Amis,Lucky Jim,1954,Late 20th Century (1950–2000),Comedy / Satire,,Novel,,sparknotes
J R R Tolkien,The Fellowship of the Ring,1954,Late 20th Century (1950–2000),Fantasy / Adventure,,Novel,,sparknotes
J R R Tolkien,The Two Towers,1954,Late 20th Century (1950–2000),Fantasy / Adventure,,Novel,,sparknotes
Graham Greene,The Quiet American,1955,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Vladimir Nabokov,Lolita,1955,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,Controversial; literary fiction; flag for content,sparknotes
J R R Tolkien,The Return of the King,1955,Late 20th Century (1950–2000),Fantasy / Adventure,,Novel,,sparknotes
James Baldwin,Giovannis Room,1956,Late 20th Century (1950–2000),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,,sparknotes
Saul Bellow,Seize the Day,1956,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Ray Bradbury,Dandelion Wine,1957,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,Most autobiographical/coming-of-age Bradbury,sparknotes
Jack Kerouac,On the Road,1957,Late 20th Century (1950–2000),Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Bernard Malamud,The Assistant,1957,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Ayn Rand,Atlas Shrugged,1957,Late 20th Century (1950–2000),Science Fiction / Dystopia,Literary / Realist Fiction,Novel,Objectivist philosophy; dystopian elements,sparknotes
